,RTT,MISS,HIT,LOSS,THROUGHPUT
0,0.36831116676330566,19,0,1,660.7622273939504
1,0.28005528450012207,37,2,0,684.1840243137548
2,0.4785943508148193,55,2,2,442.1637853393063
3,0.46397454738616944,71,4,2,5821.029868711142
4,0.47800620794296267,85,8,2,934.4154714370945
5,0.2791151762008667,102,11,0,394.3197659048
6,0.5342584133148194,117,13,3,386.9828744254702
7,0.30092347860336305,133,16,1,1112.3168523266445
8,0.41865718364715576,143,24,2,103920.35643668441
9,0.23688757419586182,159,28,0,538.9368135531263
10,0.35373663902282715,171,36,1,3362.822419725771
11,0.39420485496520996,184,41,2,324.7120654193704
12,0.4825162887573242,191,52,2,744.9220727312879
13,0.3163233518600464,202,60,1,3267.8589366321494
14,0.5755954623222351,212,66,4,3932.5717804433343
15,0.753279197216034,221,71,6,3384.9886591435156
16,0.4169148802757263,231,79,2,126192.36423566748
17,0.3310240626335144,240,89,1,7338.638234500152
18,0.31623852252960205,252,96,1,471.82419586619415
19,0.21183960437774657,263,105,0,738.7188968301655
20,0.3556008696556091,269,117,2,715.559511172923
21,0.3028744697570801,278,127,1,3598.4693664827196
22,0.46009899377822877,287,136,2,34232.97161539654
23,0.18539366722106934,297,146,0,4041.5869742711634
24,0.21156134605407714,305,158,0,693.0336296966282
25,0.36520674228668215,311,170,2,192725.4502236922
26,0.5920318841934205,320,177,4,3429.4181257383498
27,0.3633564352989197,325,190,2,108813.74994116687
28,0.3620686411857605,333,200,2,593.1357346245865
29,0.3002574801445007,345,207,1,2246.709627025124
30,0.6524798750877381,351,216,5,761.6026670756794
31,0.65023832321167,359,224,4,505.49771878472905
32,0.282407808303833,363,239,1,60957.557677950084
33,0.2638471245765686,371,250,1,6721.024665418603
34,0.42594295740127563,381,258,2,1060.7725595162308
35,0.5261770844459533,385,270,4,905.6348016090581
36,0.2421981453895569,388,286,1,583.6401384771887
37,0.5503653526306153,392,298,4,1144.9268813911387
38,0.29995319843292234,402,307,1,485.0492665001263
39,0.49179319143295286,411,315,3,397.25546823364607
40,0.2886932730674744,417,328,1,1356.8264504616457
41,0.4366539239883423,421,341,3,100917.98512097399
42,0.17441657781600953,429,353,0,1165.7617582555322
43,0.3520447611808777,435,365,2,93468.17844279221
44,0.5307534337043762,439,377,4,3336.6833026803897
45,0.626410448551178,443,388,5,480.3039232621413
46,0.16509515047073364,449,402,0,118672.76446278862
47,0.16705790758132935,457,414,0,683.1133710995307
48,0.3715341091156006,464,425,2,747.2940205118572
49,0.2601912498474121,470,438,1,3072.503948954384
50,0.41323424577713014,471,454,3,812.1641513614068
51,0.18230781555175782,478,467,0,5828.361115791394
52,0.25066514015197755,480,484,1,791.4944531333638
53,0.6121041059494019,483,496,5,518.2656080647098
54,0.3011283755302429,490,508,1,3083.9860352935016
55,0.17283992767333983,496,522,0,127498.70954686687
56,0.2961846590042114,500,537,1,1355.866867601546
57,0.4835395812988281,507,547,3,563.662201979838
58,0.3125016450881958,510,562,2,794.1907886381878
59,0.32293293476104734,512,578,2,4714.704808564131
60,0.3171688914299011,514,594,2,803.2835108673441
61,0.6402794241905212,520,603,5,443.66849668556534
62,0.3105573296546936,521,620,2,649.8437939986057
63,0.19075994491577147,528,633,0,927.4707219902366
64,0.17319247722625733,533,648,0,871.888084835727
65,0.2667006850242615,540,660,1,773.228919124261
66,0.32028487920761106,541,677,2,7796.5201354643605
67,0.2927379488945007,550,687,1,565.6270625632529
68,0.3255790114402771,553,702,2,648.4350283391659
69,0.32771495580673216,554,719,2,1836.5764128155945
70,0.16440260410308838,558,735,0,4425.902672262417
71,0.14839744567871094,563,750,0,1440.4946533803918
72,0.46347824335098264,569,761,3,426.1081740260112
73,0.22818604707717896,571,778,1,637.4595050535975
74,0.35510547161102296,577,790,2,3839.527238130705
75,0.24342306852340698,582,804,1,595.6119024015629
76,0.2670544147491455,585,820,1,776.6369108838041
77,0.4999657511711121,585,836,4,609.098313704522
78,0.44877668619155886,589,849,3,120681.9922011062
79,0.25304887294769285,593,864,1,98059.53052955006
80,0.25244429111480715,597,879,1,1019.8985994466109
81,0.2551562786102295,600,895,1,315869.4728211389
82,0.5268473982810974,603,908,4,561.6926284101089
83,0.4079954504966736,606,923,2,35867.42133955729
84,0.23919899463653566,608,940,1,6599.732853809261
85,0.32915893793106077,611,955,2,708.1711992589683
86,0.41476131677627565,614,969,3,527.8373443680915
87,0.4102259874343872,616,984,3,924.2626981499188
88,0.4214639663696289,617,1000,3,536.4760998878262
89,0.26361172199249266,625,1011,1,1782.937600594607
90,0.2821096420288086,629,1026,1,1028.5382788138086
91,0.17464054822921754,633,1042,0,2061.8641668389273
92,0.23894141912460326,635,1059,1,916.4922020353713
93,0.2607014298439026,637,1076,1,1210.6762331898112
94,0.3546778202056885,642,1089,2,5330.60804912316
95,0.36119521856307985,646,1103,2,481.2429325117866
96,0.23320624828338624,648,1120,1,1848.248567443175
97,0.24003965854644777,650,1137,1,132733.248555713
98,0.43761745691299436,656,1149,2,609.6349779215632
99,0.3340700030326843,659,1164,2,589.6562383025722
