,RTT,MISS,HIT,TH
0,0.48165537118911744,0.88,0.1,2.24859039218469
1,0.9179866337776184,0.62,0.37,1.1689998530631809
2,0.3275396680831909,0.47,0.53,3.084450704588861
3,0.2485965633392334,0.46,0.53,3.326143647736838
4,0.22080361127853393,0.35,0.65,4.152565959817429
5,0.3152713131904602,0.34,0.66,2.804359556385904
6,0.20760554552078248,0.24,0.76,5.369854245480168
7,0.09295683145523072,0.16,0.84,11.825616501670716
8,0.05758891582489014,0.17,0.83,21.480437029956185
9,0.025251803398132325,0.04,0.96,45.77816569273223
10,0.07598664522171021,0.09,0.91,11.512146607441869
11,0.05008477687835693,0.09,0.91,19.954963210226193
12,0.02897090435028076,0.04,0.95,37.16103256505923
13,0.017245137691497804,0.03,0.97,50.33729364932686
14,0.042381272315979004,0.03,0.97,28.064276861069146
15,0.04625699520111084,0.04,0.96,18.901305547382456
16,0.0342385458946228,0.02,0.98,26.664475845727427
17,0.009758658409118652,0.01,0.99,93.10301907391552
18,0.012933342456817628,0.01,0.99,72.32690567989266
19,0.012045078277587891,0.02,0.98,89.21082082126462
20,0.01105100393295288,0.0,1.0,113.78715342326372
21,0.011256053447723388,0.01,0.99,90.01171189400506
22,0.011861701011657715,0.01,0.99,79.35318881119349
23,0.007862646579742432,0.0,1.0,99.75953923973712
24,0.00879849910736084,0.0,1.0,113.38262444845945
25,0.011780846118927001,0.01,0.99,89.81913771880893
26,0.011174349784851075,0.0,1.0,98.6372953435062
27,0.009224352836608886,0.0,1.0,77.73216101993755
28,0.008142862319946289,0.0,1.0,106.37245798424762
29,0.008368151187896728,0.0,1.0,123.70994939686261
30,0.007624468803405762,0.0,1.0,122.35283848014373
31,0.009413824081420899,0.0,1.0,100.85294900228241
32,0.008612613677978515,0.0,1.0,109.95329355377157
33,0.006519422531127929,0.0,1.0,106.07870201662642
34,0.009985549449920654,0.0,1.0,95.31487523779302
35,0.01131641149520874,0.0,1.0,69.3214028433074
36,0.013270764350891114,0.0,1.0,87.5214516126954
37,0.007893493175506592,0.0,1.0,109.04633232228743
38,0.008102293014526368,0.0,1.0,110.59025369651842
39,0.00820343017578125,0.0,1.0,127.9880315309698
40,0.007959246635437012,0.0,1.0,99.64662691426365
41,0.00825253963470459,0.0,1.0,114.48279460869495
42,0.010792961120605469,0.0,1.0,78.70542574069295
43,0.009956951141357423,0.0,1.0,85.65906047859995
44,0.010408751964569092,0.0,1.0,103.65054366483442
45,0.009665303230285645,0.0,1.0,114.08270322496777
46,0.010064609050750732,0.0,1.0,99.55052153021923
47,0.010256552696228027,0.0,1.0,85.8361504176517
48,0.016241755485534668,0.01,0.99,43.65252762433521
49,0.01007331371307373,0.0,1.0,91.40713634332342
