,RTT,MISS,HIT,TH
0,1.6240578174591065,0.96,0.01,0.5788534065066752
1,1.1781933784484864,0.97,0.03,0.7765206092099939
2,1.1652613258361817,0.98,0.01,0.8056383398173282
3,1.087205150127411,0.97,0.03,0.9397379325146386
4,1.3934806847572327,1.0,0.0,0.725731307984498
5,1.1234746289253235,0.95,0.05,0.8840429987725316
6,1.1050725126266479,0.97,0.0,0.8306535449136865
7,1.2163256263732911,0.93,0.07,0.9010245087639515
8,1.073775248527527,0.97,0.01,0.9121748348578093
9,1.085278513431549,0.97,0.02,0.8729421141900766
10,1.0857285141944886,0.96,0.03,0.9111825535262541
11,1.0525042486190797,0.98,0.02,0.9551058832483814
12,1.0988910388946533,0.96,0.03,1.0581765423891818
13,1.0956198692321777,0.97,0.03,0.975067238191544
14,1.098398540019989,0.98,0.02,0.8527398443036482
15,1.157247850894928,0.98,0.01,0.8611030724571013
16,1.409373323917389,0.99,0.0,0.589863782641546
17,1.1026143217086792,0.96,0.04,0.8449941032474313
18,1.1476695322990418,0.97,0.02,0.872755206800253
19,1.0740723013877869,0.96,0.03,0.8772912203233496
20,1.180835680961609,0.99,0.01,0.7874086250872947
21,1.0518761277198792,0.99,0.01,0.9734268256658042
22,1.3082281756401062,0.99,0.01,0.7368238797703272
23,2.2282120013237,0.98,0.0,0.48473084219919904
24,2.1114853167533876,0.96,0.04,0.47678547040428276
25,1.0582429409027099,0.97,0.01,1.0081797277002444
26,1.29444828748703,0.94,0.03,0.7870350093148916
27,1.1278156185150146,0.99,0.01,0.8904354430933343
28,2.966386251449585,0.95,0.04,0.3607122705201041
29,1.1571533036231996,0.97,0.01,0.7974389539490748
30,1.0855665349960326,0.97,0.02,1.091443483014452
31,1.0548615121841431,0.95,0.04,0.960920754328416
32,1.027326455116272,0.97,0.03,0.9899122863383295
33,1.1473910999298096,0.97,0.03,0.8850400530927257
34,1.1940308260917663,0.99,0.01,0.7965603393282096
35,1.1114163303375244,0.98,0.02,0.8300132855883542
36,1.1526233792304992,0.98,0.01,0.817951238009257
37,1.0631831550598145,0.96,0.03,0.7781038629731284
38,1.2394993591308594,0.99,0.01,0.8287038734092289
39,1.4823644495010375,0.98,0.02,0.7566424575127503
40,1.005167257785797,0.95,0.04,1.0464048364616974
41,1.2342843866348268,0.97,0.01,0.6657626790859816
42,1.2634061980247497,1.0,0.0,0.9013879794008189
43,1.0093035173416138,0.98,0.02,0.9007742709493435
44,1.3250202894210816,0.95,0.03,0.8287822373495859
45,1.0441117978096008,0.96,0.04,0.873062101120162
46,2.8940225052833557,0.98,0.02,0.31824377257557773
47,1.1502203631401062,0.98,0.01,0.8488254870871854
48,1.100877161026001,0.96,0.03,0.8613077222133461
49,1.0920033383369445,0.95,0.04,0.8742597815258901
