,RTT,MISS,HIT,THROUGHPUT
0,0.26839683055877683,38,2,105998.89526286101
1,0.35752580165863035,55,5,421.6650203339438
2,0.24909955263137817,75,5,3494.6097446944027
3,0.28720678091049195,92,8,417.03371419608084
4,0.30310951471328734,107,13,337.2251422001888
5,0.2848657011985779,121,19,379.79292870988036
6,0.2587065815925598,137,23,1277.1384158198648
7,0.23659374713897705,150,30,5690.758562187084
8,0.3225005030632019,164,36,54006.32671682858
9,0.3078076124191284,181,40,4003.3392181137087
10,0.2599263548851013,193,48,832.408539645168
11,0.23398534059524537,206,55,101811.76327955622
12,0.2502546787261963,219,62,4032.382837505994
13,0.28001865148544314,231,70,604.3168697730871
14,0.3578566908836365,244,77,690.1714435152285
15,0.23883882761001587,254,87,1045.10485284531
16,0.33414463996887206,267,94,514.5436544966335
17,0.236963951587677,277,104,300.0114939037162
18,0.2300460934638977,288,113,6377.675923345929
19,0.2557928204536438,298,123,1813.9488561088795
20,0.24234185218811036,305,136,4194.0768478290165
21,0.25835150480270386,319,142,573.1665787404136
22,0.21500921249389648,332,149,297.54498670496525
23,0.2394048571586609,345,156,871.4703153772507
24,0.22139791250228882,354,167,445.3478980077945
25,0.1772122025489807,360,181,445.1509190749117
26,0.17377421855926514,366,195,694.5861375569747
27,0.22831965684890748,379,202,318.0184058402636
28,0.20667409896850586,388,213,710.977546902908
29,0.16759673357009888,393,228,585.8628137217729
30,0.210092031955719,403,238,1287.55775910565
31,0.19231629371643066,414,247,1132.5780298205518
32,0.18504738807678223,423,258,752.2405086832516
33,0.14665813446044923,427,274,122363.61167656272
34,0.19902392625808715,436,285,301230.6644411624
35,0.24356952905654908,445,296,638.1853898561025
36,0.20452840328216554,452,309,825.7442402117467
37,0.17084523439407348,456,325,1242.1085147856415
38,0.1767906665802002,461,340,771.9898445804176
39,0.2404616355895996,468,353,457.8739118879208
40,0.19788143634796143,474,367,534.9516054213108
41,0.132136070728302,475,386,972.4811969349485
42,0.16765754222869872,480,401,1630.8920540379402
43,0.1272685170173645,482,419,808.7199353571698
44,0.20272650718688964,486,435,876.8045464648761
45,0.15998750925064087,489,452,4546.570310178232
46,0.21727333068847657,497,464,606.0034767971862
47,0.15838866233825682,504,477,1686.123946513758
48,0.2620550632476807,510,491,1860.5947149727297
49,0.194022274017334,515,506,525.6578838017887
50,0.13581475019454955,516,525,989.7446760674122
51,0.19087870121002198,523,538,85200.96107590065
52,0.20732476711273193,531,550,793.6214117073624
53,0.23277043104171752,537,564,30315.07934990432
54,0.12688804864883424,540,581,511.8398764842494
55,0.2492765188217163,545,596,964.5407109195828
56,0.17192277908325196,554,607,642.9247007169031
57,0.14399617910385132,558,623,886.5525946931544
58,0.14023833274841307,562,639,3634.0240502889624
59,0.19630860090255736,566,655,395.02683386964725
60,0.17707611322402955,569,672,428.4724429828789
61,0.20357882976531982,573,688,471.1583564233944
62,0.1799018144607544,579,702,1146.5535940593297
63,0.15584133863449096,582,719,216499.27865016478
64,0.1521056890487671,587,734,3847.915484068401
65,0.13967500925064086,589,752,4616.498151135065
66,0.1470632314682007,590,771,893.2570031492381
67,0.1720507860183716,594,787,1142.03293886723
68,0.15910515785217286,599,802,1582.5664208288365
69,0.17289873361587524,607,814,993.3155130445873
70,0.14312584400177003,610,831,5173.7894168113135
71,1.8280518889427184,617,844,907.4533777403401
72,0.17092519998550415,622,859,825.4369506175665
73,0.21795207262039185,629,872,963.4961044731151
74,0.11431505680084228,631,890,819.2510903467601
75,0.3479353666305542,635,906,582.2920628664773
76,0.17426317930221558,640,921,709.7397010896498
77,0.15978959798812867,645,936,804.0481970864521
78,0.12589699029922485,647,954,913.0424612989078
79,0.15507885217666625,651,970,138356.3540356579
80,0.19739552736282348,657,984,1736.244553391182
81,0.18884347677230834,662,999,792.6770164496993
82,0.11237103939056396,662,1019,1119.6374713183536
83,0.1499599575996399,664,1037,737.8537122206866
84,0.1518121600151062,667,1054,934.5585498085744
85,0.19238722324371338,672,1069,210162.2719809025
86,0.16554617881774902,680,1081,5530.799672108222
87,0.14573923349380494,682,1099,891.9418705309948
88,0.14725762605667114,684,1117,528.0214212758322
89,0.20130211114883423,690,1131,695.109587477335
90,0.13345086574554443,692,1149,618.325556493226
91,0.16006038188934327,695,1166,591.6651447310367
92,0.21804224252700805,702,1179,91633.95220849421
93,0.14850206375122071,706,1195,817.9384916446892
94,0.13249506950378417,708,1213,6432.832847859125
95,0.13792042732238768,709,1232,757.5668401634509
96,0.1631542682647705,714,1247,685.5125214506731
97,0.15502560138702393,719,1262,161326.22854267282
98,0.1510161876678467,724,1277,123624.1955756828
99,0.24597858190536498,729,1292,58653.635635744235
