,RTT,MISS,HIT,TH
0,1.2366046857833863,0.91,0.09,0.842224335694
1,1.3089880990982055,0.85,0.15,0.8126995201353532
2,1.1813896441459655,0.73,0.27,0.8372532169223839
3,1.1872270107269287,0.75,0.25,0.8945874297028492
4,1.183468108177185,0.81,0.17,0.8529050787474856
5,1.1604857635498047,0.76,0.24,0.7975474659584469
6,1.0663434290885925,0.73,0.27,0.9142210786943453
7,1.2530100393295287,0.77,0.23,0.9673571974320214
8,1.2147774982452393,0.75,0.25,0.848618484857616
9,1.2496389937400818,0.82,0.18,0.8158344970884049
10,1.1226077556610108,0.75,0.23,0.900354193085773
11,1.3490400886535645,0.81,0.19,0.813143663577
12,1.2204463505744934,0.78,0.21,0.7812957608100924
13,1.2558393096923828,0.82,0.18,0.6866979185507738
14,1.031016697883606,0.67,0.33,0.8844874014862453
15,1.2456418108940124,0.78,0.21,0.8015577120708539
16,1.142076816558838,0.76,0.24,0.8276320351620622
17,1.0538119220733642,0.65,0.35,0.9327615102949733
18,1.2321197915077209,0.77,0.23,0.7416569121755506
19,1.2462040066719056,0.74,0.26,0.7763095246207973
20,1.3240040731430054,0.77,0.22,0.8070887859606921
21,1.205829360485077,0.77,0.23,0.7917991643659402
22,1.1021666717529297,0.7,0.28,0.8441681134489691
23,1.1792367839813231,0.7,0.29,0.8378813597249942
24,1.2492749571800232,0.8,0.19,0.9415579118428593
25,1.107820508480072,0.76,0.23,0.8403265266114595
26,1.3280677723884582,0.8,0.2,0.8093849593735852
27,1.1846758866310119,0.71,0.29,0.8780812809132508
28,1.091828362941742,0.75,0.25,0.9397136352417197
29,1.199988729953766,0.8,0.2,0.9022627071186867
30,1.2225329661369324,0.7,0.3,0.7808983368494862
31,1.2124454760551453,0.77,0.22,0.6906537378691275
32,1.3247255444526673,0.81,0.18,0.6842772254191924
33,1.2383336734771728,0.77,0.23,0.8326770902584257
34,1.4554392623901367,0.86,0.14,0.6501702849804973
35,1.271319742202759,0.79,0.21,0.7555761215000469
36,1.1176999425888061,0.73,0.26,0.922049577646924
37,1.047659261226654,0.72,0.28,0.7985133630379984
38,1.0666835808753967,0.72,0.28,1.051864995502416
39,1.4094726300239564,0.74,0.25,0.8350833743965606
40,1.2042670726776123,0.75,0.25,0.7948037953672713
41,1.1921335744857788,0.73,0.26,0.793740919853011
42,1.1975947690010071,0.75,0.24,0.8034951595544175
43,1.2037813234329224,0.78,0.2,0.7217699619414426
44,1.2287287425994873,0.85,0.15,0.7514938716632452
45,1.091876347064972,0.76,0.24,0.8874998735935961
46,1.112199285030365,0.73,0.26,0.9261945173538536
47,1.1157152676582336,0.75,0.25,0.9447728381564924
48,1.2504975414276123,0.83,0.16,0.7001460226786715
49,2.4965917325019835,0.71,0.28,0.3532418971507987
