,RTT,MISS,HIT,TH
0,0.8631751966476441,0.85,0.14,1.0141007334312042
1,1.0624287009239197,0.77,0.21,0.8651353255053111
2,0.7825588011741638,0.71,0.29,1.0683371508257236
3,0.5703933119773865,0.53,0.45,1.498200105182649
4,0.7081768369674682,0.58,0.41,1.2990103487983178
5,0.77903080701828,0.66,0.34,1.5255602593545605
6,0.7253490972518921,0.61,0.38,1.3486398255766883
7,0.6649983477592468,0.6,0.38,1.4643086607375106
8,0.7093737530708313,0.65,0.33,1.5614656099200217
9,0.7521888971328735,0.6,0.4,1.3534201367242016
10,0.8155672597885132,0.64,0.36,1.1866558746497036
11,0.5679766249656677,0.56,0.43,1.6976666250275436
12,0.6450166654586792,0.65,0.33,1.4148325909549107
13,0.7412372136116028,0.66,0.33,1.3928242417426289
14,0.9375398135185242,0.55,0.44,1.3239093445448387
15,0.6112032389640808,0.61,0.36,1.4289841812361992
16,0.6725989198684692,0.63,0.37,1.5295661197332657
17,0.5841568303108216,0.6,0.38,1.7018713270390446
18,0.5931966662406921,0.63,0.35,1.9363859329815032
19,0.6678681659698487,0.61,0.38,1.421226835421366
20,0.809510371685028,0.59,0.4,1.2990999458240173
21,0.8578013634681702,0.66,0.34,1.0798207131019206
22,0.6525628519058227,0.65,0.35,1.760657991248656
23,0.48316532373428345,0.47,0.53,2.050458406954802
24,0.7026063132286072,0.58,0.4,1.3770835555888168
25,0.9631932735443115,0.69,0.3,1.043552553374179
26,1.3934631943702698,0.7,0.3,0.7801853715205634
27,0.5991063761711121,0.61,0.36,1.9053563864490914
28,3.0189248919487,0.55,0.44,0.36132349066024255
29,0.7231325912475586,0.53,0.46,1.3456938489263335
30,0.5965905833244324,0.56,0.42,1.726028986682849
31,0.6171564269065857,0.62,0.38,1.598963693769272
32,0.7368328166007996,0.61,0.39,1.4604043899187433
33,0.825716004371643,0.57,0.41,1.4048564323065906
34,0.6685736536979675,0.6,0.39,1.697332393706094
35,0.8835923886299133,0.7,0.29,1.1003539330025014
36,0.6361397719383239,0.63,0.36,1.3807738467972424
37,0.6988881635665893,0.67,0.32,1.2238273941214146
38,0.5276618266105652,0.62,0.38,1.8571796377516816
39,0.7281233429908752,0.61,0.35,1.470571174935424
40,0.5664797139167785,0.64,0.36,1.4231379874592223
41,0.9338639354705811,0.65,0.35,1.1488378973103603
42,0.5179881834983826,0.58,0.42,2.039204432939151
43,0.8844405627250671,0.64,0.36,1.1255428142427346
44,0.5818519425392151,0.6,0.39,1.3014706743012427
45,0.7482118320465088,0.54,0.45,1.7311321533865929
46,0.7601607036590576,0.6,0.39,1.085181378133938
47,0.868981466293335,0.6,0.36,1.1219813054918286
48,0.6935196995735169,0.58,0.42,1.4950421749196317
49,0.6748999547958374,0.6,0.4,1.5717502904869693
