,RTT,MISS,HIT,TH
0,0.6940856838226318,0.83,0.12,1.4509540010298687
1,1.0988981008529664,0.74,0.25,0.9084503824559554
2,0.7650804948806763,0.7,0.3,1.3905485332833187
3,0.8654255270957947,0.62,0.37,1.0921916795913666
4,0.5964753055572509,0.57,0.43,1.625615865344373
5,0.7884554648399353,0.74,0.26,1.1207162857059871
6,0.6250018286705017,0.47,0.52,1.8552867956668244
7,0.7643792223930359,0.57,0.41,1.3384440733449758
8,0.7969441413879395,0.58,0.41,1.4917637237780834
9,0.6819193363189697,0.67,0.33,1.3155598796224424
10,0.643805913925171,0.63,0.36,1.391866120857275
11,0.8207543015480041,0.62,0.38,1.1282124726651104
12,0.7323706912994384,0.58,0.41,1.3008270966027535
13,0.9089949703216553,0.62,0.37,1.2059379818263505
14,0.6952659416198731,0.49,0.5,1.3664454752184927
15,0.6643027091026306,0.56,0.44,1.8047589804646975
16,0.7699374294281006,0.65,0.34,1.4670855537430172
17,1.0881786561012268,0.56,0.44,1.0344441086843796
18,0.5694852614402771,0.56,0.44,1.7856441050435221
19,0.566912727355957,0.6,0.39,1.50793255954411
20,0.7259720635414123,0.56,0.44,1.4652921419741636
21,1.0178293228149413,0.64,0.36,1.0784054412623447
22,1.2726451301574706,0.68,0.32,1.0028022185902585
23,0.7308376097679138,0.62,0.38,1.310768667617162
24,0.6673283362388611,0.67,0.33,1.2572854986629596
25,1.0265616416931151,0.64,0.36,0.831893152165231
26,1.914070360660553,0.63,0.37,0.42628543692532617
27,0.8218785333633423,0.61,0.38,1.2854855761671642
28,0.8545849633216858,0.67,0.31,1.1268797853133983
29,1.163135404586792,0.63,0.35,0.8001769323930431
30,0.6285861134529114,0.6,0.37,1.2911032913882465
31,2.180444519519806,0.7,0.28,0.4393359938417358
32,0.539933488368988,0.62,0.37,1.8872077060418275
33,0.6721966886520385,0.63,0.36,1.315846232110589
34,0.6538484287261963,0.66,0.34,1.6264449576972624
35,1.917099459171295,0.66,0.33,0.6417608403748808
36,0.7912211632728576,0.67,0.33,1.5147264199083297
37,0.7892071294784546,0.65,0.34,1.01493583887076
38,0.6739769983291626,0.59,0.39,1.4750501611547109
39,0.7027872943878174,0.65,0.32,1.4537988494655274
40,0.7641677069664001,0.65,0.35,1.141537377263648
41,0.5250496506690979,0.56,0.44,1.6557308797218586
42,1.844693160057068,0.53,0.46,0.5294892728771127
43,0.8006980872154236,0.66,0.33,1.0933986404846452
44,0.7383445501327515,0.67,0.32,1.2596985510799437
45,0.7322063159942627,0.65,0.35,1.655249474807175
46,0.8384832620620728,0.62,0.37,1.3281672877538686
47,0.6746115112304687,0.64,0.36,1.3213566403189771
48,0.6730953121185302,0.63,0.36,1.3489929637782168
49,0.8935826706886292,0.65,0.35,1.0661985636603544
