,RTT,MISS,HIT,LOSS,THROUGHPUT
0,0.6041959524154663,48,3,4,278.0239425362662
1,0.7040909886360168,60,6,5,484.2216957085931
2,0.6778827786445618,76,8,2,391.44662478084445
3,0.5597853302955628,91,10,3,206.7384620746218
4,0.7603732585906983,101,14,6,346.2269825066721
5,0.610495662689209,112,19,4,1931.8803503889333
6,0.784524655342102,122,23,6,319.85748434539886
7,0.5313016057014466,136,26,3,116834.40259902847
8,0.6879551768302917,151,27,4,1167.2138200179586
9,0.963761842250824,163,27,8,94.56120770612185
10,0.35700963735580443,175,33,2,627.148121398728
11,0.354607617855072,184,42,2,601.0160000727949
12,0.6392698407173156,193,48,5,6172.075970101751
13,0.8720528244972229,200,54,7,219.2361228649458
14,0.8179023623466491,209,59,6,7261.224384619789
15,0.5460599422454834,217,67,4,516.0010650962721
16,0.6494593381881714,226,74,4,44378.771666298635
17,0.37645477056503296,234,84,2,611.4379221686625
18,0.6680777907371521,241,92,5,291.3140294102751
19,0.5019125938415527,250,100,3,421.9996321040635
20,0.7699872612953186,257,107,6,937.4903498816275
21,0.5055174112319947,266,115,3,302.3891054301323
22,0.3647354006767273,274,125,2,112934.98850038592
23,0.7567559838294983,283,130,6,422.3867375940649
24,0.5592422962188721,289,140,4,695.795096893193
25,0.3094367027282715,297,151,1,550.6927337601328
26,0.2838235259056091,303,164,1,926.5126418908776
27,0.6213319897651672,311,171,5,369.5772103981127
28,0.44784729480743407,319,180,3,9618.013466341805
29,0.878464937210083,327,185,7,276.8733136440886
30,0.6962648391723633,335,192,5,3675.0362327750204
31,0.8229345560073853,340,200,7,414.9616036125043
32,0.8481520533561706,346,207,7,438.55645752788496
33,0.2877950191497803,353,219,1,95970.3981121185
34,0.3584964036941528,360,230,2,420.2813483821932
35,0.5322577953338623,366,240,4,4875.951551611797
36,0.6652773141860961,373,248,5,620.9703578957846
37,0.7014049530029297,378,257,6,487.8145480265801
38,0.8295580625534058,381,267,7,526.7190361897108
39,0.550799298286438,389,275,4,614.7778906665023
40,0.26131377220153806,396,287,1,135236.82823663956
41,0.42159143686294553,400,300,3,547.1474079270996
42,0.4496458411216736,406,311,3,112238.76697574025
43,0.4553969383239746,412,322,3,467.45120726157
44,0.6282237291336059,416,333,5,216.63998334845945
45,0.9078392863273621,422,339,8,372.2903462951607
46,0.4394297480583191,426,352,3,496.9989849145569
47,0.5702394127845765,434,360,4,1150.3296806048913
48,0.5712294459342957,437,373,4,565.551037784068
49,0.45243856906890867,442,385,3,101046.50179146722
50,0.6627350568771362,450,392,5,6401.6874741784395
51,0.5363544464111328,454,405,4,311248.86797789735
52,0.5098388671875,457,418,4,980.3262445606094
53,0.3598519563674927,459,434,2,749.1880508259776
54,0.8234565258026123,465,441,7,1942.2512478274275
55,0.28873682022094727,472,453,1,1026.9093134580287
56,0.3607728600502014,477,466,2,883.0967726852992
57,0.5517433524131775,485,474,4,632.8348913641605
58,0.6351042866706849,488,486,5,584.5337547750512
59,1.012297761440277,491,494,9,260.7619598894297
60,0.368172812461853,497,506,2,228571.05376690268
61,0.28933454751968385,504,518,1,6438.6625375316025
62,0.534086537361145,507,531,4,4782.172113017415
63,0.33591471910476683,512,544,2,993.3908036343516
64,0.7274513721466065,515,556,5,713.9000504356409
65,0.5359102129936218,520,567,4,827.0989632774332
66,0.3434696555137634,524,581,2,509.3484990921518
67,0.31040380001068113,525,598,2,5148.337858512958
68,0.5924691677093505,526,612,5,244.3484276329053
69,0.6342813849449158,533,620,5,720.2215102605218
70,0.8763453960418701,535,630,8,458.6004934550998
71,0.4159280061721802,537,645,3,562.9699487797417
72,0.8194227457046509,542,653,7,180.61388147638058
73,0.24466114044189452,546,668,1,2440.447154267657
74,0.4322863698005676,549,682,3,1951.942921468422
75,0.5255309581756592,551,696,4,831.7356765822573
76,0.43311028480529784,554,710,3,473.2151977927309
77,0.517976450920105,555,725,4,369.0206166471201
78,0.3332206130027771,558,740,2,467.2246203976589
79,0.43959047794342043,562,753,3,154804.73768056798
80,0.27239036560058594,567,767,1,327.45883425347625
81,0.7000887632369995,571,777,6,492.74560945250425
82,0.7963098883628845,572,789,7,346.4318593598023
83,0.5421173691749572,575,802,4,541.6432246516459
84,0.3390949249267578,578,817,2,573.4092501316607
85,0.4349133253097534,581,831,3,461.4481256745571
86,0.4955468773841858,582,846,4,1268.9987341151166
87,0.793547761440277,583,858,7,387.4528194663462
88,0.6307427525520325,590,866,5,4015.8603223895434
89,0.4494156837463379,595,878,3,4440.398542686506
90,0.40852808952331543,599,891,3,485.4255966441753
91,0.6879469633102417,601,903,6,723.7508272732282
92,0.43422257900238037,605,916,3,534.8424799149508
93,0.5996676325798035,607,929,5,436.2141743624246
94,0.7428241610527039,613,937,6,639.3047836755698
95,0.7365900754928589,618,946,6,359.22610115918985
96,0.3303741216659546,621,961,2,603.5075157768696
97,0.22075629234313965,623,978,1,658.2546352025504
98,0.5421116948127747,627,990,4,1684.757561934346
99,0.8135726451873779,630,1000,7,4763.043106840016
