,RTT,MISS,HIT,TH
0,0.7497592687606811,0.89,0.09,1.128863670333842
1,0.834124321937561,0.65,0.35,1.231286096075352
2,0.4657642555236816,0.61,0.38,1.928729543639968
3,0.7664835739135742,0.61,0.39,1.4731672255344637
4,0.6219669818878174,0.64,0.34,1.6905854339863566
5,0.6396129250526428,0.58,0.41,1.6985516668703708
6,0.5402668786048889,0.47,0.53,1.6432788963346348
7,0.6694745182991028,0.62,0.34,1.2917065793587785
8,0.43473989963531495,0.5,0.5,2.2347272031275978
9,0.534240550994873,0.52,0.46,1.9582436377242358
10,0.5146067261695861,0.57,0.42,2.225468385391045
11,0.48277647495269777,0.51,0.47,2.0200966090892383
12,0.48279948711395265,0.61,0.38,2.5636247614899976
13,0.664035575389862,0.51,0.48,1.4108157977077913
14,0.480872368812561,0.59,0.41,1.262939938719424
15,0.4299777555465698,0.57,0.42,2.349016959531077
16,0.7501956367492676,0.53,0.46,1.4070737662165296
17,1.0907773756980896,0.52,0.47,0.8442626520472424
18,0.5414453434944153,0.56,0.44,2.0756226893501615
19,0.5290585994720459,0.6,0.39,1.7569699857966576
20,0.47737865209579466,0.58,0.41,1.646933721372677
21,0.623072726726532,0.62,0.37,1.5788694285631453
22,0.6087042498588562,0.52,0.48,1.5902555637231952
23,0.6577803015708923,0.6,0.39,1.3627868725457553
24,0.40324586153030395,0.45,0.53,2.7916608386950585
25,0.43384498834609986,0.58,0.41,2.452769511194853
26,0.7473254132270813,0.56,0.43,1.2753044699557166
27,0.38351653814315795,0.49,0.49,2.6487937258674465
28,0.5586841225624084,0.61,0.38,1.3437004734569702
29,0.39138832569122317,0.52,0.47,2.580288408491604
30,0.4756151127815247,0.59,0.41,2.266022443435413
31,0.49034177780151367,0.61,0.35,1.8213779050283545
32,0.5372462344169616,0.52,0.46,1.5280528506466189
33,0.49465946435928343,0.54,0.45,2.1782054880838326
34,1.2478059029579163,0.46,0.53,0.6710732158062578
35,0.49223276853561404,0.46,0.51,2.052880719433226
36,0.6317440581321716,0.58,0.41,1.4917909046685927
37,0.518758008480072,0.6,0.39,2.01523566462716
38,0.43375989913940427,0.58,0.39,2.50468206525204
39,0.6074961638450622,0.61,0.36,1.5760343801021726
40,0.494998836517334,0.5,0.5,2.074516714473207
41,0.5688766241073608,0.53,0.47,1.9423724462818936
42,0.490678927898407,0.5,0.49,1.8194191542393692
43,0.625262439250946,0.55,0.41,1.9349952340802943
44,0.5345705842971802,0.52,0.47,2.2349111512949036
45,0.401498589515686,0.58,0.41,2.488770586231315
46,0.47360810279846194,0.55,0.43,2.532787409911466
47,0.48009605407714845,0.48,0.52,2.4184756990596257
48,0.619736795425415,0.64,0.36,1.6929996213630862
49,0.6658208060264588,0.6,0.38,1.4409102739301831
